,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
0,1,flow_2_1.0,0.00,9.00,9.00,0,0.00
1,1,flow_3_1.0,0.00,13.00,13.00,0,0.00
2,1,flow_1_1.0,0.00,46.00,46.00,1,3.00
3,1,flow_2_1.1,40.00,49.00,9.00,0,0.00
4,1,flow_3_1.1,45.00,59.00,14.00,0,0.00
5,1,flow_1_1.1,20.00,61.00,41.00,0,0.00
6,1,flow_2_1.2,80.00,88.00,8.00,0,0.00
7,1,flow_1_1.2,40.00,96.00,56.00,1,12.00
8,1,flow_3_1.2,90.00,104.00,14.00,0,0.00
9,1,flow_4_1.0,0.00,108.00,108.00,1,19.00
10,1,flow_4_1.1,26.00,118.00,92.00,0,0.00
11,1,flow_2_1.3,120.00,128.00,8.00,0,0.00
12,1,flow_1_1.3,60.00,132.00,72.00,1,22.00
13,1,flow_1_1.4,80.00,132.00,52.00,0,0.00
14,1,flow_3_1.3,135.00,148.00,13.00,0,0.00
15,1,flow_4_1.2,52.00,158.00,106.00,1,16.00
16,1,flow_1_1.5,100.00,161.00,61.00,1,19.00
17,1,flow_2_1.4,160.00,169.00,9.00,0,0.00
18,1,flow_4_1.3,78.00,170.00,92.00,0,0.00
19,1,flow_3_1.4,180.00,194.00,14.00,0,0.00
20,1,flow_1_1.7,140.00,195.00,55.00,1,12.00
21,1,flow_4_1.4,103.00,197.00,94.00,0,0.00
22,1,flow_1_1.6,120.00,197.00,77.00,2,23.00
23,1,flow_2_1.5,200.00,209.00,9.00,0,0.00
24,1,flow_1_1.8,160.00,212.00,52.00,1,4.00
25,1,flow_1_1.9,180.00,218.00,38.00,0,0.00
26,1,flow_4_1.5,129.00,225.00,96.00,0,0.00
27,1,flow_3_1.5,225.00,238.00,13.00,0,0.00
28,1,flow_2_1.6,240.00,249.00,9.00,0,0.00
29,1,flow_4_1.6,155.00,253.00,98.00,1,8.00
30,1,flow_4_1.7,180.00,269.00,89.00,0,0.00
31,1,flow_3_1.6,270.00,283.00,13.00,0,0.00
32,1,flow_2_1.7,280.00,289.00,9.00,0,0.00
33,1,flow_1_1.11,220.00,290.00,70.00,1,27.00
34,1,flow_1_1.10,200.00,291.00,91.00,2,46.00
35,1,flow_4_1.8,206.00,293.00,87.00,0,0.00
36,1,flow_1_1.12,240.00,316.00,76.00,2,27.00
37,1,flow_1_1.13,260.00,317.00,57.00,1,11.00
38,1,flow_1_1.14,280.00,320.00,40.00,0,0.00
39,1,flow_4_1.9,232.00,328.00,96.00,0,0.00
40,1,flow_3_1.7,315.00,328.00,13.00,0,0.00
41,1,flow_2_1.8,320.00,329.00,9.00,0,0.00
42,1,flow_1_1.15,300.00,341.00,41.00,0,0.00
43,1,flow_4_1.10,258.00,353.00,95.00,0,0.00
44,1,flow_2_2.0,360.00,369.00,9.00,0,0.00
45,1,flow_4_1.11,283.00,373.00,90.00,0,0.00
46,1,flow_3_2.0,360.00,373.00,13.00,0,0.00
47,1,flow_1_1.17,340.00,384.00,44.00,1,2.00
48,1,flow_1_1.16,320.00,389.00,69.00,1,20.00
49,1,flow_1_2.0,360.00,401.00,41.00,0,0.00
50,1,flow_4_1.12,309.00,402.00,93.00,0,0.00
51,1,flow_3_2.1,390.00,403.00,13.00,0,0.00
52,1,flow_4_1.13,335.00,426.00,91.00,0,0.00
53,1,flow_2_2.1,420.00,429.00,9.00,0,0.00
54,1,flow_1_2.1,372.00,431.00,59.00,1,10.00
55,1,flow_1_2.2,384.00,433.00,49.00,1,4.00
56,1,flow_3_2.2,420.00,434.00,14.00,0,0.00
57,1,flow_4_1.14,360.00,453.00,93.00,1,3.00
58,1,flow_4_2.0,363.00,456.00,93.00,0,0.00
59,1,flow_1_2.4,408.00,461.00,53.00,1,8.00
60,1,flow_1_2.3,396.00,462.00,66.00,2,18.00
61,1,flow_3_2.3,450.00,463.00,13.00,0,0.00
62,1,flow_1_2.5,420.00,469.00,49.00,0,0.00
63,1,flow_4_2.1,383.00,472.00,89.00,0,0.00
64,1,flow_1_2.6,432.00,482.00,50.00,1,5.00
65,1,flow_2_2.2,480.00,489.00,9.00,0,0.00
