,agent,step,test_id,reward,total arrived vehicle number,total departured vehicle number,total waiting time,total travel time,average waiting time,average travel time
0,ma2c,720,-1,872923.0,981,984,9715,50245,9.872967479674797,51.0619918699187
1,ma2c,1440,-1,882200.0,982,984,9360,49955,9.512195121951219,50.767276422764226
2,ma2c,2160,-1,889938.0,982,984,7910,48200,8.038617886178862,48.983739837398375
3,ma2c,2880,-1,882136.0,981,984,8140,48120,8.272357723577235,48.90243902439025
4,ma2c,3600,-1,873328.0,981,984,10160,50570,10.325203252032521,51.392276422764226
5,ma2c,4320,-1,885306.0,982,984,6710,46300,6.819105691056911,47.052845528455286
6,ma2c,5040,-1,888023.0,982,984,8155,48105,8.28760162601626,48.88719512195122
7,ma2c,5760,-1,872224.0,982,984,9485,49695,9.639227642276422,50.5030487804878
8,ma2c,6480,-1,883020.0,981,984,6960,46600,7.073170731707317,47.357723577235774
9,ma2c,7200,-1,881848.0,982,984,7765,47685,7.891260162601626,48.46036585365854
10,ma2c,7920,-1,881426.0,981,984,6975,46540,7.088414634146342,47.296747967479675
11,ma2c,8640,-1,875644.0,982,984,7815,47820,7.942073170731708,48.59756097560975
12,ma2c,9360,-1,877763.0,980,984,6970,46630,7.083333333333333,47.38821138211382
13,ma2c,10080,-1,874742.0,981,984,6090,45395,6.189024390243903,46.13313008130081
